id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1230235574407090176,1230017728817221634,1582145992000,2020-02-19,23:59:52,+03,1242240500,muhammadgraza,Muhammad G. Raza,,Another Virus 🦠 #VirusUsa pic.twitter.com/tQ1OsINMzE,['zlj517'],[],['https://pbs.twimg.com/media/ERKsutnUcAAM9R8.jpg'],0,0,0,['#virususa'],[],https://twitter.com/MuhammadGRaza/status/1230235574407090176,False,,0,,,,,,,"[{'user_id': '1242240500', 'username': 'MuhammadGRaza'}, {'user_id': '141627220', 'username': 'zlj517'}]",,,,
1230235563653025794,1230235543340011530,1582145989000,2020-02-19,23:59:49,+03,855476713005907968,just_curius,Just Curious,,I don't have an opinion one way or the other about whether this virus entered humans via a market or lab accident or in nature. There is no information one way or the other. And that's my point. Bats are bats are bats. Animals are animals are animals.They can all have viruses.15/,[],[],[],1,0,0,[],[],https://twitter.com/Just_Curius/status/1230235563653025794,False,,0,,,,,,,"[{'user_id': '855476713005907968', 'username': 'Just_Curius'}]",,,,
1230235562403037186,1230235543340011530,1582145989000,2020-02-19,23:59:49,+03,855476713005907968,just_curius,Just Curious,,But it's also possible that this virus has a natural origin in wildlife AND reached humans via a lab accident. These are not mutually exclusive possibilities. 14/,[],[],[],1,0,2,[],[],https://twitter.com/Just_Curius/status/1230235562403037186,False,,0,,,,,,,"[{'user_id': '855476713005907968', 'username': 'Just_Curius'}]",,,,
1230235561698451457,1230147862060785666,1582145989000,2020-02-19,23:59:49,+03,753754407729324032,angela_semler,Angela Semler 🇺🇸🙏❤,,Please tell me it ain't the Corona flu. I'm praying for #justice.,['x22report'],[],[],0,0,0,['#justice'],[],https://twitter.com/angela_semler/status/1230235561698451457,False,,0,,,,,,,"[{'user_id': '753754407729324032', 'username': 'angela_semler'}, {'user_id': '2333707213', 'username': 'X22Report'}]",,,,
1230235560939261955,1230235543340011530,1582145989000,2020-02-19,23:59:49,+03,855476713005907968,just_curius,Just Curious,,"The idea that this virus ""does not have a natural origin"" is widely considered a conspiracy theory. Scientists have also widely concluded that the virus ""originated in wildlife."" 13/
 https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30418-9/fulltext …",[],['https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30418-9/fulltext'],[],1,0,0,[],[],https://twitter.com/Just_Curius/status/1230235560939261955,False,,0,,,,,,,"[{'user_id': '855476713005907968', 'username': 'Just_Curius'}]",,,,
1230235559668436993,1230235559668436993,1582145988000,2020-02-19,23:59:48,+03,3079650095,ochukomarv,....,,Since coronavirus it’s been empty truss me  https://twitter.com/kvngtxmvr/status/1230228710344753169 …,[],['https://twitter.com/kvngtxmvr/status/1230228710344753169'],[],1,1,1,[],[],https://twitter.com/OchukoMarv/status/1230235559668436993,False,https://twitter.com/kvngtxmvr/status/1230228710344753169,0,,,,,,,"[{'user_id': '3079650095', 'username': 'OchukoMarv'}]",,,,
1230235559651676167,1230235543340011530,1582145988000,2020-02-19,23:59:48,+03,855476713005907968,just_curius,Just Curious,,"There have been a number of lab accidents in China, and around the world. It doesn't make logical sense to me to categorically dismiss this possibility for this outbreak. Accidents happen. We are all human. Recall that the 1977 Russian flu pandemic was probably a lab accident.12/",[],[],[],1,0,1,[],[],https://twitter.com/Just_Curius/status/1230235559651676167,False,,0,,,,,,,"[{'user_id': '855476713005907968', 'username': 'Just_Curius'}]",,,,
1230235559253200900,1230235559253200900,1582145988000,2020-02-19,23:59:48,+03,1113559572541788165,the__hokage,Crimson MinatoSlayz,,They say the Chinese restaurants are losing clients due to the virus . I wonder if Asian girls aren’t getting dicked down right now due to that also ? 🤔🥺,[],[],[],1,0,10,[],[],https://twitter.com/The__Hokage/status/1230235559253200900,False,,0,,,,,,,"[{'user_id': '1113559572541788165', 'username': 'The__Hokage'}]",,,,
1230235559018344453,1230235559018344453,1582145988000,2020-02-19,23:59:48,+03,85906383,ict_magazine,ICT Magazine,,"Health officials say that this is a particularly bad year for an extended influenza season since flu symptoms and some of the symptoms of the novel coronavirus, COVID-19, are the same (fever, cough, shortness of breath).

 https://www.infectioncontroltoday.com/hai-types/cdc-seeks-test-some-flu-symptoms-covid-19 …",[],['https://www.infectioncontroltoday.com/hai-types/cdc-seeks-test-some-flu-symptoms-covid-19'],[],0,1,2,[],[],https://twitter.com/ICT_magazine/status/1230235559018344453,False,,0,,,,,,,"[{'user_id': '85906383', 'username': 'ICT_magazine'}]",,,,
1230235558376615936,1230235543340011530,1582145988000,2020-02-19,23:59:48,+03,855476713005907968,just_curius,Just Curious,,But that point of view does not invalidate the possibility that the animal involved was collected or used in a lab study and that the virus was therefore released in a lab accident. It's even possible that this virus was incidental to some lab activity and not its focus. 11/,[],[],[],1,0,0,[],[],https://twitter.com/Just_Curius/status/1230235558376615936,False,,0,,,,,,,"[{'user_id': '855476713005907968', 'username': 'Just_Curius'}]",,,,
