adm0_name,iso3,X,Y,published,source,airline,info,optional1,optional2,optional3,ObjectId
United States of America,USA,-99.446708,39.40399,01.04.2020,https://simpleflying.com/frontier-operations-cut/?utm_source=dlvr.it&utm_medium=twitter,Frontier Airlines,Frontier Airlines reduces flights by 90 percent in April ,,,,523
United States of America,USA,-99.446708,39.40399,10.04.2020,https://www.routesonline.com/news/38/airlineroute/290743/frontier-airlines-further-downsizes-new-york-operation-week-of-12apr20/,.Frontier Airlines,Frontier Airlines further downsizes New York operation week of 12APR20,,,,524
United States of America,USA,-99.446708,39.40399,14.04.2020,http://bransontrilakesnews.com/news_free/article_19619c7a-7e6d-11ea-b8d5-c7a07776d21c.html,.Frontier Airlines,Frontier Airlines will resume commercial flights at Missouri's Branson Airport on 6 June ,,,,525
United States of America,USA,-99.446708,39.40399,13.04.2020,https://www.routesonline.com/news/38/airlineroute/290765/delta-13apr20-25apr20-international-operations-as-of-12apr20/,.Delta,Delta 13APR20 – 25APR20 International operations as of 12APR20,,,,526
United States of America,USA,-99.446708,39.40399,27.04.2020,https://www.routesonline.com/news/38/airlineroute/290972/delta-may-2020-new-york-area-domestic-operations-as-of-26apr20/,.Delta,Delta May 2020 New York area domestic operations as of 26APR20,,,,527
United States of America,USA,-99.446708,39.40399,26.04.2020,https://www.timesofisrael.com/airlines-plan-to-resume-israel-routes-after-virus-grounds-travel/,.Delta,Delta Airlines to resume flights between Tel Aviv and New York from 10 May ,,,,528
United States of America,USA,-99.446708,39.40399,26.04.2020,https://simpleflying.com/delta-may-resumption/,.Delta,Delta To Resume Select International Services In May,,,,529
United States of America,USA,-99.446708,39.40399,27.04.2020,https://www.routesonline.com/news/38/airlineroute/290974/jetblue-mayjune-2020-domestic-tag-on-sectors-as-of-26apr20/,.JetBlue,JetBlue May/June 2020 Domestic tag-on sectors as of 26APR20,,,,530
United States of America,USA,-99.446708,39.40399,27.04.2020,https://www.routesonline.com/news/38/airlineroute/290652/jetblue-week-of-12apr20-new-york-area-operations-as-of-05apr20/,.JetBlue,JetBlue week of 10MAY20 New York area domestic operations as of 26APR20,,,,531
United States of America,USA,-99.446708,39.40399,16.04.2020,https://www.routesonline.com/news/38/airlineroute/290814/jetblue-week-of-19apr20-international-operations-as-of-0615gmt-16apr20/,.JetBlue,JetBlue week of 19APR20 International operations as of 16APR20,,,,532
United States of America,USA,-99.446708,39.40399,26.03.2020,https://www.airlineratings.com/news/alaska-sees-substantial-flight-reductions-several-months/,Alaska Airlines,"Alaska Airlines reduces schedule by 70 percent in April, May because of low demand",,,,533
United States of America,USA,-99.446708,39.40399,06.04.2020,https://www.routesonline.com/news/38/airlineroute/290653/alaska-airlines-week-of-12apr20-new-york-area-operations-as-of-05apr20/,.Alaska Airlines,Alaska Airlines week of 12APR20 New York area operations as of 05APR20,,,,534
United States of America,USA,-99.446708,39.40399,07.04.2020,https://www.routesonline.com/news/38/airlineroute/290680/alaska-airlines-april-2020-selected-us-domestic-service-consolidations/,.Alaska Airlines,Alaska Airlines April 2020 selected US domestic service consolidations (ex SEA),,,,535
United States of America,USA,-99.446708,39.40399,07.04.2020,https://www.routesonline.com/news/38/airlineroute/290681/alaska-airlines-10apr20-30apr20-international-operations-as-of-05apr20/,.Alaska Airlines,"Alaska Airlines 10APR20 – 30APR20 International operations as of 05APR20 (Ex LAX, SEA)",,,,536
United States of America,USA,-99.446708,39.40399,07.04.2020,https://eu.tcpalm.com/story/news/local/shaping-our-future/2020/04/06/elite-airways-cancels-april-flights/2954487001/,Elite Airways,"Elite Airways cancels all April flights to, from Vero Beach Regional Airport because of COVID-19",,,,537
United States of America,USA,-99.446708,39.40399,03.04.2020,https://www.routesonline.com/news/38/airlineroute/290614/hawaiian-airlines-april-2020-passenger-operations-as-of-03apr20/,.Hawaiian Airlines,"Hawaiian Airlines April 2020 Passenger operations as of 03APR20",,,,538
United States of America,USA,-99.446708,39.40399,25.04.2020,https://www.routesonline.com/news/38/airlineroute/290954/hawaiian-airlines-resumes-honolulu-seattle-service-from-01may20/?utm_medium=email&utm_source=airlineroute&utm_campaign=airlineroute&utm_content=airlineroute-20200425,.Hawaiian Airlines,Hawaiian Airlines resumes Honolulu – Seattle service from 01MAY20,,,,539
United States of America,USA,-99.446708,39.40399,31.03.2020,Reuters,Southwest Airlines,Southwest Airlines will cut more than 40 percent of flights from 3 May through 5 June because of COVID-19,,,,540
United States of America,USA,-99.446708,39.40399,07.04.2020,https://www.dallasnews.com/business/airlines/2020/04/07/southwest-airlines-is-cutting-half-its-flights-in-june-as-covid-19-crisis-weighs-on-summer-travel/,Southwest Airlines,Southwest Airlines will cut half of its flights in June,,,,541
United States of America,USA,-99.446708,39.40399,24.03.2020,https://okcfox.com/news/local/coronavirus-cancels-multiple-flights-at-will-rogers-world-airport,Allegiant Airlines ,"Allegiant Airlines has suspended all service through the rest of March, which includes flights from Oklahoma City to Las Vegas and to Destin, Florida.",,,,542
United States of America,USA,-99.446708,39.40399,20.03.2020,https://worldairlinenews.com/2020/03/20/compass-airlines-to-cease-operations/,Compass Airlines,Compass Airlines to cease operations,,,,543
United States of America,USA,-99.446708,39.40399,20.03.2020,https://worldairlinenews.com/2020/03/20/trans-states-airlines-to-close-its-doors-on-april-1/,Trans States Airlines ,Trans States Airlines to close its doors on April 1,,,,544
United States of America,USA,-99.446708,39.40399,21.03.2020,https://www.channelnewsasia.com/news/business/united-airlines-slashes-international-schedule-by-95per-cent-for-april-12563098?utm_source=dlvr.it&utm_medium=twitter,United Airlines,United Airlines slashes international schedule by 95per cent for April,,,,545
United States of America,USA,-99.446708,39.40399,16.04.2020,https://nypost.com/2020/04/16/united-cuts-may-flights-by-90-tells-employees-to-prepare-for-cuts/,United Airlines,United cuts May flights by 90 percent,,,,546
United States of America,USA,-99.446708,39.40399,28.04.2020,https://www.routesonline.com/news/38/airlineroute/290989/united-ns20-long-haul-operation-changes-as-of-24apr20/,.United Airlines,United Long-Haul operation changes as of 24APR20,,,,547
United States of America,USA,-99.446708,39.40399,27.04.2020,https://www.routesonline.com/news/38/airlineroute/290956/united-guam-micronesia-island-hopper-20apr20-03jun20-operations-as-of-26apr20/,.United Airlines,United Guam / Micronesia Island Hopper 20APR20 – 03JUN20 operations as of 26APR20,,,,548
United States of America,USA,-99.446708,39.40399,22.04.2020,Media,.United Airlines,"United Airlines, which has been operating regular Tel Aviv-New York City flights throughout the COVID-19 crisis, is reintroducing two daily flights from 20 May and also resuming Tel Aviv-San Francisco flights from 20 May.",,,,549
United States of America,USA,-99.446708,39.40399,07.04.2020,https://www.reuters.com/article/us-health-coronavirus-united-arlns/united-airlines-drastically-cuts-california-flights-to-match-demand-idUSKBN21P30X,United Airlines,"United Airlines temporarily reduces flights in, out of Los Angeles and San Francisco airports ",,,,550
United States of America,USA,-99.446708,39.40399,27.04.2020,https://www.routesonline.com/news/38/airlineroute/290955/united-04may20-03jun20-new-york-domestic-operations-as-of-26apr20/,.United Airlines,United 04MAY20 – 03JUN20 New York domestic operations as of 26APR20,,,,551
United States of America,USA,-99.446708,39.40399,11.04.2020,https://www.routesonline.com/news/38/airlineroute/290742/united-week-of-12apr20-new-york-operations-as-of-0130gmt-11apr20/,.United Airlines,United week of 12APR20 New York operations as of 11APR20,,,,552
United States of America,USA,-99.446708,39.40399,18.03.2020,https://techcrunch.com/2020/03/18/delta-air-lines-will-park-at-least-half-its-fleet-and-close-airport-lounges/,Delta,Delta to cut 70 percent of flights as demand falls because of COVID-19 ,,,,553
United States of America,USA,-99.446708,39.40399,06.04.2020,https://www.reuters.com/article/us-health-coronavirus-american-airline/american-joins-united-others-in-suspending-more-nyc-flights-on-coronavirus-spike-idUSKBN21O07C,American Airlines,"American joins United, others in suspending more NYC flights on coronavirus spike",,,,554
United States of America,USA,-99.446708,39.40399,28.04.2020,https://www.routesonline.com/news/38/airlineroute/290990/american-airlines-ns20-international-operation-changes-as-of-26apr20/,.American Airlines,American Airlines International operation changes as of 26APR20,,,,555
United States of America,USA,-99.446708,39.40399,27.04.2020,https://www.routesonline.com/news/38/airlineroute/290969/american-airlines-may-2020-new-york-area-domestic-operations-as-of-26apr20/,.American Airlines,American Airlines May 2020 New York area domestic operations as of 26APR20,,,,556
United States of America,USA,-99.446708,39.40399,24.03.2020,https://worldairlinenews.com/2020/03/24/hawaiian-airlines-suspends-most-long-haul-passenger-service-due-to-new-state-of-hawaii-quarantine-order/,Hawaiian Airlines,Hawaiian Airlines suspends most long-haul passenger service due to new state of Hawai‘i quarantine order,,,,557
United States of America,USA,-99.446708,39.40399,09.04.2020,https://www.routesonline.com/news/38/airlineroute/290719/hawaiian-airlines-modifies-ohana-operations-in-april-2020/,.Hawaiian Airlines,"Hawaiian Airlines 'Ohana operations in April 2020. HNL-LNY, HNL-MKK",,,,558
United States of America,USA,-99.446708,39.40399,27.04.2020,https://www.routesonline.com/news/38/airlineroute/290973/spirit-airlines-may-2020-routing-consolidations-as-of-26apr20/,.Spirit Airlines,Spirit Airlines May 2020 Routing consolidations as of 26APR20,,,,559
United States of America,USA,-99.446708,39.40399,15.04.2020,https://www.routesonline.com/news/38/airlineroute/290799/pacific-coastal-extends-scheduled-service-suspension-to-late-may-2020/,Pacific Costal,Pacific Coastal extends scheduled service suspension to late-May 2020,,,,560
United States Virgin Islands,VIR,-64.819501,17.728014,,,,,,,,561
Uruguay,URY,-56.017306,-32.796996,,,,,,,,562
Uzbekistan,UZB,63.119445,41.775605,,,,,,,,563
Vanuatu,VUT,166.872606,-15.241809,,,,,,,,564
Venezuela,VEN,-66.154434,7.122874,,,,,,,,565
Viet Nam,VNM,105.802499,10.096431,05.04.2020,https://www.routesonline.com/news/38/airlineroute/290634/bamboo-airways-01apr20-15apr20-domestic-service-changes/,.Bamboo Airways,Bamboo Airways 01APR20 – 15APR20 domestic service changes,,,,566
Viet Nam,VNM,105.802499,10.096431,11.04.2020,https://www.routesonline.com/news/38/airlineroute/290749/bamboo-airways-further-delays-prague-launch-to-june-2020/,.Bamboo Airways,Bamboo Airways further delays Prague launch to June 2020,,,,567
Viet Nam,VNM,105.802499,10.096431,05.04.2020,https://www.routesonline.com/news/38/airlineroute/290633/vietjet-air-01apr20-15apr20-domestic-service-changes/,.VietJet,VietJet Air 01APR20 – 15APR20 domestic service changes,,,,568
Viet Nam,VNM,105.802499,10.096431,08.04.2020,https://www.routesonline.com/news/38/airlineroute/290694/vietnam-airlines-revises-domestic-07apr20-15apr20-operations/,.Vietnam Airlines,Vietnam Airlines revises domestic 07APR20 – 15APR20 operations,,,,569
Viet Nam,VNM,105.802499,10.096431,19.03.2020,Reuters,VietJet,Vietnam Airlines to halt all international flights until at least 30 April because of COVID-19 outbreak ,,,,570
Viet Nam,VNM,105.802499,10.096431,17.03.2020,Reuters,Viet Nam Airlines,Vietnam Airlines will suspend its flights to France and Malaysia because of COVID-19,,,,571
Wake Island,WAK,166.646462,19.278314,,,,,,,,572
Wallis and Futuna,WLF,-176.20431,-13.285184,,,,,,,,573
West Bank,PSE,35.256944,31.943484,,,,,,,,574
Western Sahara,ESH,-13.135324,24.662235,,,,,,,,575
Yemen,YEM,45.226272,15.225552,,,,,,,,576
Zambia,ZMB,27.854152,-14.594525,08.04.2020,https://www.routesonline.com/news/38/airlineroute/290698/proflight-zambia-2q20-operations-as-of-08apr20/,.ProFlight Zabia,ProFlight Zambia 2Q20 operations as of 08APR20,,,,577
Zimbabwe,ZWE,29.869096,-19.000755,14.04.2020,https://www.routesonline.com/news/38/airlineroute/290778/fastjet-plans-new-routes-from-july-2020/,.Fastjet Zimbabwe,FastJet plans new routes from July 2020,,,,578
Zimbabwe,ZWE,29.869096,-19.000755,25.03.2020,https://www.chronicle.co.zw/fastjet-zim-suspends-flights/,Fastjet Zimbabwe,Fastjet Zimbabwe to suspend flights from 27 March ,,,,579
Zimbabwe,ZWE,29.869096,-19.000755,07.04.2020,https://www.reuters.com/article/brief-fastjet-says-fastjet-zimbabwe-plan/brief-fastjet-says-fastjet-zimbabwe-planning-to-restart-flights-on-21-april-idUSFWN2BV19X,.Fastjet Zimbabwe,Fastjet Zimbabwe plans to restart flights on 21 April ,,,,580
